Timestep,Total Energy,Kinetic Energy,Potential Energy,Temperature,Stress
7100,-3262.4,36.4698,-3298.87,449.927,0
7200,-3261.39,32.9076,-3294.3,408.246,0
7300,-3259.9,42.7443,-3302.64,392.929,0
7400,-3258.9,61.5736,-3320.47,400.619,0
7500,-3257.4,61.5915,-3318.99,436.72,0
7600,-3256.41,69.6153,-3326.02,459.742,0
7700,-3254.91,63.8308,-3318.74,465.926,0
7800,-3253.9,56.4601,-3310.36,463.131,0
7900,-3252.4,59.4295,-3311.83,495.016,0
8000,-3251.4,57.7754,-3309.18,497.918,0
8100,-3249.9,53.2437,-3303.14,492.855,0
8200,-3248.89,56.1487,-3305.04,483.185,0
8300,-3247.4,46.9154,-3294.31,484.981,0
8400,-3246.4,52.6925,-3299.09,466.396,0
8500,-3244.9,55.7965,-3300.7,462.023,0
8600,-3243.9,67.4662,-3311.37,482.672,0
8700,-3242.4,67.4272,-3309.83,497.759,0
8800,-3241.4,62.6111,-3304.01,512.133,0
8900,-3239.9,71.3192,-3311.22,532.609,0
9000,-3238.9,66.2493,-3305.15,538.648,0
9100,-3237.4,73.723,-3311.12,541.882,0
9200,-3236.4,61.2582,-3297.66,537.021,0
9300,-3234.9,69.3546,-3304.25,547.188,0
9400,-3233.89,56.1069,-3290,542.086,0
9500,-3232.4,61.5136,-3293.91,535.252,0
9600,-3231.4,60.5332,-3291.93,513.495,0
9700,-3229.9,77.5422,-3307.44,518.674,0
9800,-3228.9,78.8534,-3307.75,551.461,0
9900,-3227.4,64.9957,-3292.4,552.424,0
10000,-3226.4,92.031,-3318.43,587.064,0
10100,-3224.9,72.0759,-3296.98,593.211,0
10200,-3223.9,67.3437,-3291.24,580.18,0
10300,-3222.4,72.7621,-3295.16,587.871,0
10400,-3221.39,65.2103,-3286.6,598.353,0
10500,-3219.9,73.9733,-3293.87,593.63,0
10600,-3218.89,70.4423,-3289.34,593.703,0
10700,-3217.39,58.6103,-3276,584.411,0
10800,-3216.39,60.6989,-3277.09,576.93,0
10900,-3214.9,77.9522,-3292.85,584.538,0
11000,-3213.9,87.8246,-3301.72,605.295,0
11100,-3212.4,83.2089,-3295.61,628.65,0
11200,-3211.4,61.745,-3273.14,635.688,0
11300,-3209.9,81.5062,-3291.41,647.976,0
11400,-3208.9,90.2981,-3299.19,654.996,0
11500,-3207.4,77.0149,-3284.41,661.87,0
11600,-3206.4,82.9208,-3289.32,678.679,0
11700,-3204.89,55.4018,-3260.29,653.889,0
11800,-3203.89,72.1298,-3276.02,628.429,0
11900,-3202.39,77.0572,-3279.45,627.879,0
12000,-3201.39,86.773,-3288.17,642.587,0
12100,-3199.9,69.8191,-3269.72,643.443,0
12200,-3198.9,92.8735,-3291.77,656.365,0
12300,-3197.39,78.4676,-3275.86,677.649,0
12400,-3196.4,90.1812,-3286.58,670.549,0
12500,-3194.9,82.0822,-3276.98,683.444,0
12600,-3193.89,76.2747,-3270.17,668.483,0
12700,-3192.39,82.7813,-3275.17,667.265,0
12800,-3191.39,91.7133,-3283.11,672.39,0
12900,-3189.89,79.8656,-3269.76,673.618,0
13000,-3188.89,82.5044,-3271.4,679.369,0
13100,-3187.39,88.8922,-3276.29,688.722,0
13200,-3186.39,88.6124,-3275.01,699.664,0
13300,-3184.89,75.1685,-3260.06,711.295,0
